,head,head_replaced,head_translated
21552,PersonX receives PersonX's brother 's keys from PersonX's hand,someone receives his brother 's keys from his hand,有人从他手里接过他哥哥的钥匙
21553,PersonX is playing monopoly,someone is playing monopoly,有人在玩大富翁游戏
21554,PersonX resumes PersonY's work,someone resumes someone else's work,有人继续做别人的工作
21555,PersonX justifies PersonY's existence,someone justifies someone else's existence,有人为别人的存在辩护
21556,PersonX does n't know how to cook,someone does n't know how to cook,有人不会做饭
21557,PersonX talks turkey,someone talks turkey,有人夸夸其谈
21558,PersonX retires from PersonX's job,someone retires from his job,某人退休了
21559,PersonX snatches ___ away,someone snatches something away,有人把东西抢走了
21560,PersonX keeps the kitten,someone keeps the kitten,有人养了小猫
21561,PersonX teaches ___ to read,someone teaches something to read,有人教我们读书
21562,PersonX has a history test tomorrow,someone has a history test tomorrow,有人明天有历史考试
21563,PersonX reads PersonY's works,someone reads someone else's works,有人读别人的作品
21564,PersonX speaks PersonY language,someone speaks someone else language,有人说别人的语言
21565,PersonX takes PersonY's ___ away,someone takes someone else's something away,有人拿走了别人的东西
21566,PersonX reads PersonY's favorite book,someone reads someone else's favorite book,有人读别人最喜欢的书
21567,PersonX takes PersonY's advice,someone takes someone else's advice,有人接受别人的建议
21568,PersonX starts dating,someone starts dating,有人开始约会
21569,PersonX always forgot,someone always forgot,总有人忘了
21570,PersonX hangs a picture,someone hangs a picture,有人挂了张照片
21571,PersonX puts ___ in my mouth,someone puts something in my mouth,有人把东西放进我嘴里
21572,PersonX has a new car,someone has a new car,有人有一辆新车
21573,PersonX buys pasta for dinner,someone buys pasta for dinner,有人买意大利面当晚餐
21574,PersonX reads PersonY's thoughts,someone reads someone else's thoughts,有人读出别人的想法
21575,PersonX turns over a new leaf,someone turns over a new leaf,有人改过自新
21576,PersonX gets supplies,someone gets supplies,有人得到补给
21577,PersonX takes ___ during the years,someone takes something during the years,多年来有人拿走了一些东西
21578,PersonX gives ___ a pep talk,someone gives something a pep talk,有人给某事打气
21579,PersonX chips PersonY's tooth,someone chips someone else's tooth,有人把别人的牙齿切成片
21580,PersonX plays everyday,someone plays everyday,每天都有人玩
21581,PersonX loves PersonX's children,someone loves his children,有人爱他的孩子
21582,PersonX kicks ___ out of the house,someone kicks something out of the house,有人把什么东西踢出屋子
21583,PersonX interferes in PersonY way,someone interferes in someone else way,有人以别人的方式干涉
21584,PersonX is a huge hit,someone is a huge hit,有人很受欢迎
21585,PersonX serves notice,someone serves notice,有人通知我
21586,PersonX sprays PersonX,someone sprays himself,有人喷自己
21587,PersonX puts ___ back in,someone puts something back in,有人把东西放回去
21588,PersonX takes it to the counter,someone takes it to the counter,有人把它拿到柜台
21589,PersonX expresses PersonX's admiration,someone expresses his admiration,有人表达了他的钦佩
21590,PersonX knows PersonX's ___ well,someone knows his something well,有人很了解他
21591,PersonX gets soaking wet,someone gets soaking wet,有人全身湿透了
21592,PersonX drives two hours,someone drives two hours,有人开了两个小时的车
21593,PersonX returns to PersonX's country,someone returns to his country,有人回到他的国家
21594,PersonX sets straws straight,someone sets straws straight,有人把吸管伸直了
21595,PersonX takes PersonX's husband,someone takes his husband,有人带走了他的丈夫
21596,PersonX makes a fool of himself,someone makes a fool of himself,有人出丑了
21597,PersonX frightens ___ away,someone frightens something away,有人把东西吓跑了
21598,PersonX receives PersonY letter,someone receives someone else letter,有人收到别人的信
21599,PersonX likes hiking,someone likes hiking,有人喜欢徒步旅行
21600,PersonX bells the cat,someone bells the cat,有人给猫挂上铃铛
21601,PersonX turns upon PersonY,someone turns upon someone else,有人背叛了别人
21602,PersonX decorates ___ for christmas,someone decorates something for christmas,有人为圣诞节装饰东西
21603,PersonX keeps PersonY awake,someone keeps someone else awake,有人让别人睡不着
21604,PersonX drives home in PersonX's new car,someone drives home in his new car,有人开着他的新车回家
21605,PersonX spins the bottle,someone spins the bottle,有人转动瓶子
21606,PersonX goes ___ for the first time,someone goes something for the first time,某人第一次做某事
21607,PersonX sits upon the throne,someone sits upon the throne,有人坐在宝座上
21608,PersonX wants to watch,someone wants to watch,有人想看
21609,PersonX grills PersonY,someone grills someone else,有人折磨别人
21610,PersonX thinks and ___ in terms,someone thinks and something in terms,某人的想法和某物
21611,PersonX kills PersonX's darlings,someone kills his darlings,有人杀了他的宝贝
21612,PersonX is a professional photographer,someone is a professional photographer,有人是专业摄影师
21613,PersonX watches cartoons,someone watches cartoons,有人看卡通片
21614,PersonX often made ___,someone often made something,有人经常做一些东西
21615,PersonX finally finished it,someone finally finished it,终于有人完成了
21616,PersonX is out with friends ___ before PersonY's mother found PersonY unresponsive,someone is out with friends something before someone else's mother found someone else unresponsive,在别人的母亲发现别人没有反应之前，某人和朋友出去了
21617,PersonX makes PersonY's friends laugh,someone makes someone else's friends laugh,有人让别人的朋友发笑
21618,PersonX wins the spelling bee,someone wins the spelling bee,有人赢得了拼字比赛
21619,PersonX left ___ ago,someone left something ago,刚才有人走了
21620,PersonX assures PersonY would be,someone assures someone else would be,有人向其他人保证
21621,PersonX loves to draw,someone loves to draw,有人喜欢画画
21622,PersonX gets groceries,someone gets groceries,有人买东西
21623,PersonX keeps telling PersonY,someone keeps telling someone else,有人一直告诉别人
21624,PersonX holds out PersonX's hand to PersonY,someone holds out his hand to someone else,有人向别人伸出手
21625,PersonX eases tracking by adjusting,someone eases tracking by adjusting,有人通过调整来减轻跟踪
21626,PersonX takes PersonY's breath away,someone takes someone else's breath away,有人让别人无法呼吸
21627,PersonX raises PersonX's kids,someone raises his kids,有人抚养他的孩子
21628,PersonX finds ingredients at the store,someone finds ingredients at the store,有人在商店里发现配料
21629,PersonX washes up,someone washes up,有人洗掉了
21630,PersonX solves another ___,someone solves another something,有人解决了另一件事
21631,PersonX catches some fish,someone catches some fish,有人钓到了鱼
21632,PersonX parks that thought,someone parks that thought,有人认为
21633,PersonX sets PersonX's sights on ___,someone sets his sights on something,有人把目光投向
21634,PersonX comes and watch,someone comes and watch,有人来围观
